full_name;job_titel_ID;overtime_minuteses;final_payment;paymen_date
Dr. Mae Kilback;1;4;0;24.04.2024
Gabriel Johnson;2;4;5;24.04.2024
Charlotte Predovic;3;5;4;24.04.2024
Hubert Herzog;4;5;4;24.04.2024
Pete Price;5;2;0;24.04.2024
Jamie McCullough;6;2;1;24.04.2024
Amanda Gibson III;7;5;0;24.04.2024
Larry Ferry;8;1;3;24.04.2024
Alberto Glover;9;3;4;24.04.2024
Santiago Corkery;10;0;4;24.04.2024
Joanne Mosciski Jr.;1;1;2;24.04.2024
Amanda AbshireKilback;2;4;3;24.04.2024
Christopher Kovacek;3;3;1;24.04.2024
Vicki Altenwerth MD;4;4;0;24.04.2024
Dr. Hubert Fadel;5;0;3;24.04.2024
Gayle Anderson MD;6;4;1;24.04.2024
Wilbert Reichel;7;2;2;24.04.2024
Rick O'Reilly;8;1;3;24.04.2024
Paulette Borer;9;5;2;24.04.2024
Helen Boyer;10;2;3;24.04.2024
Theodore Schaefer Sr.;1;4;3;24.04.2024
Franklin West;2;4;2;24.04.2024
Alonzo Purdy;3;0;0;24.04.2024
Virgil Wunsch I;4;2;5;24.04.2024
Tracey Mohr;5;3;1;24.04.2024
Dr. Bernadette Rice;6;4;1;24.04.2024
Mrs. Kathryn Spinka;7;5;3;24.04.2024
Tomas Gibson;8;1;0;24.04.2024
Kristina Windler;9;4;2;24.04.2024
Claudia Mayer I;10;3;3;24.04.2024
Lawrence Sanford;1;1;1;24.04.2024
Dora McCullough;2;0;2;24.04.2024
Gabriel Zemlak;3;1;3;24.04.2024
Ann Simonis;4;4;3;24.04.2024
Archie Wuckert;5;2;2;24.04.2024
Lorene Lebsack;6;4;2;24.04.2024
Rodney Gulgowski V;7;3;3;24.04.2024
Ellis O'ConnellJakubowski;8;5;0;24.04.2024
Carmen Bailey;9;5;2;24.04.2024
Pamela Kozey;10;0;3;24.04.2024
Jacqueline Deckow;1;2;0;24.04.2024
Ian Ortiz IV;2;1;0;24.04.2024
Pamela Wisoky;3;0;3;24.04.2024
Alex O'Connell;4;2;2;24.04.2024
Pamela Cummerata IV;5;0;1;24.04.2024
Mr. Thomas Franey;6;3;2;24.04.2024
Faith Wisoky;7;4;1;24.04.2024
Kurt Hyatt;8;3;4;24.04.2024
Dr. Curtis Mosciski;9;2;5;24.04.2024
Theresa Blanda;10;4;1;24.04.2024
Lindsey Anderson;1;2;2;24.04.2024
Ms. Becky Berge;2;4;1;24.04.2024
Jamie Emard;3;4;5;24.04.2024
Samantha JohnstonTillman;4;3;2;24.04.2024
Edmund Murray;5;3;0;24.04.2024
Leland Green;6;3;0;24.04.2024
Damon Daniel;7;2;0;24.04.2024
Gustavo White;8;3;4;24.04.2024
Grant Kassulke;9;2;1;24.04.2024
Joel Klein;10;4;4;24.04.2024
Adam Franey;1;5;2;24.04.2024
Marion Strosin;2;1;3;24.04.2024
Dr. Micheal Emmerich;3;5;4;24.04.2024
Dr. Jonathon Hagenes;4;3;0;24.04.2024
Bryant Batz;5;0;5;24.04.2024
Randy Lubowitz;6;0;1;24.04.2024
Mrs. Faith Bartoletti;7;3;2;24.04.2024
Ms. Olive Mueller;8;4;4;24.04.2024
Steven Wolf;9;2;5;24.04.2024
Amos VonRueden;10;5;3;24.04.2024
Vera Schulist;1;4;3;24.04.2024
Elmer Beer;2;0;0;24.04.2024
Harvey Bogan;3;5;1;24.04.2024
Phillip Ryan;4;4;5;24.04.2024
Wallace Champlin;5;2;1;24.04.2024
Chester HayesWest;6;4;1;24.04.2024
Mable Volkman;7;5;3;24.04.2024
Dr. Ann ColeBrekke;8;0;2;24.04.2024
Doug Pouros;9;0;5;24.04.2024
Dianna Borer;10;1;3;24.04.2024
Jay Olson;1;0;2;24.04.2024
Kellie Stark;2;4;3;24.04.2024
Emilio HoegerDickinson;3;0;0;24.04.2024
Dan Davis;4;4;2;24.04.2024
Chester Rempel;5;4;5;24.04.2024
Eloise Bernhard;6;0;4;24.04.2024
Regina Klocko PhD;7;5;4;24.04.2024
Jermaine Marquardt;8;0;5;24.04.2024
Elsa Lehner;9;4;0;24.04.2024
Peggy McCullough;10;3;3;24.04.2024
Ivan Weissnat;1;2;0;24.04.2024
May SchadenKiehn;2;3;5;24.04.2024
Victoria Kassulke;3;5;4;24.04.2024
Ms. Marguerite Schmeler;4;4;4;24.04.2024
Rosemary Moen;5;0;2;24.04.2024
Dr. Alberto Bartell;6;1;2;24.04.2024
Sonya Labadie;7;4;0;24.04.2024
Renee Tremblay;8;3;0;24.04.2024
Jonathon Rodriguez;9;2;0;24.04.2024
Ralph HalvorsonHahn;10;4;2;24.04.2024
Lynn GusikowskiDickens;1;5;5;24.04.2024
Judy Fisher;2;1;3;24.04.2024
Miss Loretta VonRunolfsdottir;3;2;2;24.04.2024
Ignacio McKenzie;4;0;1;24.04.2024
Devin Kautzer;5;0;1;24.04.2024
Gregory Kunde;6;3;5;24.04.2024
Johnny Stokes;7;5;4;24.04.2024
Carol Franey;8;0;5;24.04.2024
Robert Oberbrunner;9;0;2;24.04.2024
Stacey VonRueden PhD;10;2;2;24.04.2024
Perry KubSwaniawski;1;1;5;24.04.2024
Raul Botsford;2;5;2;24.04.2024
Judith Abbott;3;1;0;24.04.2024
Leslie Bashirian;4;4;0;24.04.2024
Shelly Grant;5;5;3;24.04.2024
Dianne Ledner;6;3;4;24.04.2024
Tracey Prohaska;7;3;0;24.04.2024
Andres Ryan;8;0;3;24.04.2024
Marvin Ruecker;9;5;5;24.04.2024
Mrs. Eloise Friesen;10;4;2;24.04.2024
Vera Dicki;1;4;2;24.04.2024
Cedric Ruecker DVM;2;1;3;24.04.2024
Mr. Otis Feil;3;2;4;24.04.2024
Freda Christiansen;4;1;0;24.04.2024
Vicky Gleason;5;0;4;24.04.2024
Ms. Loretta Gerhold;6;4;0;24.04.2024
Darryl GleasonBayer;7;4;3;24.04.2024
Pauline Rempel IV;8;2;5;24.04.2024
Melanie Buckridge;9;4;2;24.04.2024
Robert Dibbert;10;3;0;24.04.2024
Laurence Abernathy;1;3;5;24.04.2024
Lorraine Bosco;2;1;5;24.04.2024
Crystal Bode;3;5;3;24.04.2024
Dean Hintz;4;1;5;24.04.2024
Geoffrey Rohan;5;2;4;24.04.2024
Tanya Stracke;6;3;5;24.04.2024
Estelle Nikolaus;7;3;0;24.04.2024
Kristopher Crist;8;1;5;24.04.2024
Merle Beahan;9;4;1;24.04.2024
Jackie Stamm DDS;10;5;3;24.04.2024
Carole Gerhold;1;1;3;24.04.2024
Ollie Murray;2;3;5;24.04.2024
Jermaine Kunze Sr.;3;2;5;24.04.2024
Kevin McClure;4;0;2;24.04.2024
Sarah Gulgowski;5;4;5;24.04.2024
Candace Morissette;6;5;0;24.04.2024
Eva Bahringer;7;3;1;24.04.2024
Andres OberbrunnerKuhic;8;0;5;24.04.2024
Veronica Flatley;9;4;5;24.04.2024
Mrs. Deborah Hirthe;10;4;4;24.04.2024
Carla Pouros;1;5;0;24.04.2024
Bryant Schumm;2;0;5;24.04.2024
Theodore O'Keefe;3;5;2;24.04.2024
Mr. Dave Romaguera;4;4;3;24.04.2024
Trevor Prohaska;5;4;4;24.04.2024
Tina O'Kon;6;5;5;24.04.2024
Grady Ebert MD;7;4;5;24.04.2024
Cindy Pollich;8;1;1;24.04.2024
Claudia Breitenberg;9;0;2;24.04.2024
Gary Sauer;10;4;2;24.04.2024
Sheri Dare;1;3;5;24.04.2024
Dr. Olga Wunsch;2;2;5;24.04.2024
Marie Padberg;3;5;0;24.04.2024
Ada Romaguera;4;2;5;24.04.2024
Leroy Larson;5;5;5;24.04.2024
Winifred Stroman;6;2;3;24.04.2024
Doyle Will;7;2;1;24.04.2024
Brandi Renner;8;5;4;24.04.2024
Kyle Yundt;9;1;4;24.04.2024
Vicky Hammes;10;2;4;24.04.2024
Clifton Cremin;1;3;3;24.04.2024
